ticker,areas,area_count,current_price,return_5d_pct,return_1m_pct,return_1y_pct,high_52w,low_52w,drawdown_from_52w_high_pct,upside_from_52w_low_pct,market_cap,trailing_pe,forward_pe,volume,average_volume,sector,industry,beta,roe,revenue_growth,earnings_growth,debt_to_equity,recommendation,analyst_recommendation_mean,analyst_opinion_count
DUOL,"C,E",2,106.01,1.9,13.34,-80.05,540.68,90.03,-80.39,17.75,4939336192,12.13,13.4,1514296,2511951,Technology,Software - Application,0.9,36.96,26.5,23.6,6.6,hold,2.83,17
TTD,"C,D",2,21.14,-14.1,-0.38,-72.95,89.76,20.09,-76.45,5.23,9938089984,24.02,9.69,14487964,20925160,Communication Services,Advertising Agencies,1.1,16.74,11.8,-20.0,17.26,buy,2.43,31
TOST,"C,D",2,23.26,-18.5,-14.33,-47.09,49.3,23.26,-52.82,0.0,13490800640,34.72,13.78,20367541,10948113,Technology,Software - Infrastructure,1.82,22.5,21.9,123.0,0.85,buy,1.83,25
CRK,"C,E",2,14.72,-15.06,-15.06,-37.76,30.74,14.1,-52.11,4.4,4323203072,6.66,10.98,2531089,2266301,Energy,Oil & Gas E&P,0.22,24.24,14.2,,98.7,hold,3.29,13
DOCU,"C,E",2,45.18,-6.61,-0.53,-49.99,93.84,41.75,-51.85,8.22,8778085376,30.53,8.98,2885960,4507160,Technology,Software - Application,0.88,15.77,7.8,11.8,9.65,none,,18
CDW,"C,D",2,99.3,-27.41,-24.71,-47.05,187.53,99.3,-47.05,0.0,12685918208,12.1,8.68,4054244,1813935,Technology,Information Technology Services,1.03,44.16,9.2,7.7,240.52,buy,1.91,10
PYPL,"C,E",2,45.44,-2.26,-4.36,-36.81,77.8,38.96,-41.6,16.63,40082870272,8.53,7.86,25479359,19197040,Financial Services,Credit Services,1.4,25.12,7.2,-6.2,58.28,hold,2.89,34
PAYX,"C,E",2,93.71,0.93,4.91,-36.32,155.44,85.57,-39.71,9.51,33575438336,20.69,15.88,3557243,3913345,Technology,Software - Application,,,19.9,9.1,124.91,hold,3.26,15
CLBT,"A,C",2,12.74,-6.25,8.01,-36.68,20.12,11.03,-36.68,15.5,3177863424,41.1,20.88,1690620,1816250,Technology,Software - Infrastructure,1.15,19.1,18.1,1.8,4.68,none,,6
HRB,"C,E",2,36.67,22.15,17.65,-33.12,56.72,27.96,-35.34,31.14,4648296448,6.56,6.3,2273140,2515886,Consumer Cyclical,Personal Services,0.3,,5.3,24.2,,hold,3.25,2
ADP,"C,E",2,213.81,1.52,9.43,-28.88,318.79,188.79,-32.93,13.25,85467185152,19.96,17.59,4017739,3636200,Technology,Software - Application,0.84,71.21,7.0,10.5,69.26,hold,2.83,15
MNDY,A,1,71.99,-5.21,13.28,-75.22,314.48,58.81,-77.11,22.41,3711189760,31.44,13.2,2462402,1927578,Technology,Software - Application,1.16,12.83,24.5,9.6,23.41,buy,1.65,25
DOCS,C,1,26.45,2.64,16.73,-56.23,75.12,21.05,-64.79,25.65,4979774976,22.23,16.32,2767366,2929091,Healthcare,Health Information Services,1.35,23.82,9.8,-16.2,1.09,buy,1.83,22
TME,A,1,9.07,-0.98,-3.82,-36.6,25.67,8.95,-64.67,1.34,14292058112,10.8,8.45,17965325,10041273,Communication Services,Internet Content & Information,,11.95,7.3,-51.8,6.28,buy,1.67,29
TMDX,C,1,63.93,-32.66,-43.6,-47.65,150.42,63.93,-57.5,0.0,2209479168,14.63,17.98,1534117,1209271,Healthcare,Medical Devices,2.06,45.22,21.2,-71.5,174.78,buy,1.73,9
NOW,C,1,89.0,-3.27,-0.07,-57.08,208.94,83.0,-57.4,7.23,91786412032,52.98,17.71,22177735,22076261,Technology,Software - Application,0.82,16.07,22.1,2.3,20.73,strong_buy,1.44,44
