sample_id,sample_reason_code,sample_reason_note,ticker,name,market,exchange,sector,sub_industry,market_cap_usd_b,turnaround_flag,source,role,risk_level,risk_flags,action,review_reason,adr_flag,foreign_ownership_pct
S3V01-001,EXCLUDE_CANDIDATE,audit_role=EXCLUDE_CANDIDATE; include_all_exclude_candidates,BAX,Baxter International Inc.,US,NYSE,Health Care,Health Care Equipment,9.0,Y,SP500,EXCLUDE_CANDIDATE,VERY_HIGH,TURNAROUND_RISK;SMALL_CAP_RISK;DATA_LIMITATION;HEALTHCARE_EVENT_RISK,EXCLUSION_REVIEW,TURNAROUND_IN_PROGRESS; MARKET_CAP_BELOW_THRESHOLD; NO_FINANCIAL_DATA_AVAILABLE; turnaround healthcare row below 10B metadata threshold,N,
S3V01-002,INFORMATION_TECHNOLOGY,IT sector coverage; sector=Information Technology,NVDA,NVIDIA Corporation,US,NASDAQ,Information Technology,Semiconductors,5380.0,N,SP500+NDX,CORE,LOW,NONE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,N,
S3V01-003,INFORMATION_TECHNOLOGY,IT sector coverage; sector=Information Technology,MSFT,Microsoft Corporation,US,NASDAQ,Information Technology,Software,3150.0,N,SP500+NDX,CORE,LOW,NONE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,N,
S3V01-004,INFORMATION_TECHNOLOGY,IT sector coverage; sector=Information Technology,AAPL,Apple Inc.,US,NASDAQ,Information Technology,Technology Hardware,4370.0,N,SP500+NDX,CORE,LOW,NONE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,N,
S3V01-005,INFORMATION_TECHNOLOGY,IT sector coverage; sector=Information Technology,ACN,Accenture plc,US,NYSE,Information Technology,IT Services,109.0,N,SP500,CORE,LOW,NONE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,N,
S3V01-006,INFORMATION_TECHNOLOGY,IT sector coverage; sector=Information Technology,ORCL,Oracle Corporation,US,NYSE,Information Technology,Software,536.0,N,SP500,CORE,LOW,NONE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,N,
S3V01-007,INFORMATION_TECHNOLOGY,IT sector coverage; sector=Information Technology,SNDK,Sandisk Corporation,US,NASDAQ,Information Technology,"Technology Hardware, Storage & Peripherals",197.0,N,SP500+NDX_NEW_APR2026; sub_industry_corrected_v0_2,CORE,LOW,RECENT_INDEX_INCLUSION,KEEP_CORE,RECENT_INDEX_INCLUSION; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,N,
S3V01-008,INFORMATION_TECHNOLOGY,IT sector coverage; sector=Information Technology,INTC,Intel Corporation,US,NASDAQ,Information Technology,Semiconductors,543.0,Y,SP500+NDX,HIGH_RISK_REVIEW,HIGH,TURNAROUND_RISK,REVIEW_BEFORE_SCORING,TURNAROUND_IN_PROGRESS; METADATA_ONLY_AUDIT; turnaround flag prevents core classification,N,
S3V01-009,INFORMATION_TECHNOLOGY,IT sector coverage; sector=Information Technology,SMCI,Super Micro Computer Inc.,US,NASDAQ,Information Technology,Technology Hardware,18.0,Y,SP500,HIGH_RISK_REVIEW,HIGH,TURNAROUND_RISK,REVIEW_BEFORE_SCORING,TURNAROUND_IN_PROGRESS; METADATA_ONLY_AUDIT; turnaround flag prevents core classification,N,
S3V01-010,INFORMATION_TECHNOLOGY,IT sector coverage; sector=Information Technology,036930.KQ,주성엔지니어링,KR,KOSDAQ,Information Technology,Semiconductor Equipment,7.8,N,JUDAL_2026_05_26; KOSDAQ_TOP15,HIGH_RISK_REVIEW,HIGH,KOSDAQ_TOP15_RISK;SECTOR_VOLATILITY,REVIEW_BEFORE_SCORING,KOSDAQ_TOP15_RISK; SECTOR_VOLATILITY; METADATA_ONLY_AUDIT; KOSDAQ top15 sector-volatility marker prevents core classification,N,
S3V01-011,INFORMATION_TECHNOLOGY,IT sector coverage; sector=Information Technology,222800.KQ,심텍,KR,KOSDAQ,Information Technology,Electronic Components,3.6,N,JUDAL_2026_05_26; KOSDAQ_THEME_AI_TOP,DISCOVERY_ONLY,HIGH,KOSDAQ_THEME_RISK;SMALL_CAP_RISK;SECTOR_VOLATILITY,DISCOVERY_ONLY,KOSDAQ_THEME_SLOT; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; theme-slot row retained for discovery monitoring only,N,
S3V01-012,HIGH_RISK_BIO_KR,kr_bio_ticker_list; existing_audit_role=HIGH_RISK_REVIEW,196170.KQ,알테오젠,KR,KOSDAQ,Health Care,Biotechnology,14.0,N,JUDAL_2026_05_26; KOSDAQ_TOP15,HIGH_RISK_REVIEW,HIGH,BIOTECH_RISK;KOSDAQ_TOP15_RISK;HEALTHCARE_EVENT_RISK,REVIEW_BEFORE_SCORING,BIOTECH_CLINICAL_RISK; KOSDAQ_TOP15_RISK; METADATA_ONLY_AUDIT; KOSDAQ healthcare row requires event-risk review,N,12
S3V01-013,HIGH_RISK_BIO_KR,kr_bio_ticker_list; existing_audit_role=HIGH_RISK_REVIEW,950160.KQ,코오롱티슈진,KR,KOSDAQ,Health Care,Biotechnology,6.6,N,JUDAL_2026_05_26; KOSDAQ_TOP15,HIGH_RISK_REVIEW,HIGH,BIOTECH_RISK;KOSDAQ_TOP15_RISK;HEALTHCARE_EVENT_RISK,REVIEW_BEFORE_SCORING,BIOTECH_CLINICAL_RISK; KOSDAQ_TOP15_RISK; METADATA_ONLY_AUDIT; KOSDAQ healthcare row requires event-risk review,N,
S3V01-014,HIGH_RISK_BIO_KR,kr_bio_ticker_list; existing_audit_role=HIGH_RISK_REVIEW,000250.KQ,삼천당제약,KR,KOSDAQ,Health Care,Pharmaceuticals,6.1,N,JUDAL_2026_05_26; KOSDAQ_TOP15,HIGH_RISK_REVIEW,HIGH,PHARMA_EVENT_RISK;KOSDAQ_TOP15_RISK;HEALTHCARE_EVENT_RISK,REVIEW_BEFORE_SCORING,PHARMA_EVENT_RISK; KOSDAQ_TOP15_RISK; METADATA_ONLY_AUDIT; KOSDAQ healthcare row requires event-risk review,N,
S3V01-015,HIGH_RISK_BIO_KR,kr_bio_ticker_list; existing_audit_role=HIGH_RISK_REVIEW,028300.KQ,HLB,KR,KOSDAQ,Health Care,Biotechnology,5.0,N,JUDAL_2026_05_26; KOSDAQ_TOP15,HIGH_RISK_REVIEW,HIGH,BIOTECH_RISK;KOSDAQ_TOP15_RISK;HEALTHCARE_EVENT_RISK,REVIEW_BEFORE_SCORING,BIOTECH_CLINICAL_RISK; KOSDAQ_TOP15_RISK; METADATA_ONLY_AUDIT; KOSDAQ healthcare row requires event-risk review,N,5
S3V01-016,HEALTHCARE_LARGE,market=US; sector=Health Care; large_cap_reference_sample,LLY,Eli Lilly and Company,US,NYSE,Health Care,Pharmaceuticals,881.0,N,SP500,CORE,LOW,NONE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,N,
S3V01-017,HEALTHCARE_LARGE,market=US; sector=Health Care; large_cap_reference_sample,JNJ,Johnson & Johnson,US,NYSE,Health Care,Pharmaceuticals,551.0,N,SP500,CORE,LOW,NONE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,N,
