ticker,name,market,sector,sub_industry,market_cap_usd_b,source,company_type,turnaround_flag,universe_role,quality_risk_level,risk_flags,review_reason,recommended_next_action
NVDA,NVIDIA Corporation,US,Information Technology,Semiconductors,5380.0,SP500+NDX,BIG_TECH_AI_INFRA,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
GOOGL,Alphabet Inc. Class A,US,Communication Services,Interactive Media & Services,4810.0,SP500+NDX,BIG_TECH_AI_INFRA,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
GOOG,Alphabet Inc. Class C,US,Communication Services,Interactive Media & Services,4790.0,SP500+NDX,BIG_TECH_AI_INFRA,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
AAPL,Apple Inc.,US,Information Technology,Technology Hardware,4370.0,SP500+NDX,BIG_TECH_AI_INFRA,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
MSFT,Microsoft Corporation,US,Information Technology,Software,3150.0,SP500+NDX,BIG_TECH_AI_INFRA,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
AMZN,Amazon.com Inc.,US,Consumer Discretionary,Broadline Retail,2850.0,SP500+NDX,BIG_TECH_AI_INFRA,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
AVGO,Broadcom Inc.,US,Information Technology,Semiconductors,1990.0,SP500+NDX,BIG_TECH_AI_INFRA,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
META,Meta Platforms Inc.,US,Communication Services,Interactive Media & Services,1550.0,SP500+NDX,BIG_TECH_AI_INFRA,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
TSLA,Tesla Inc.,US,Consumer Discretionary,Automobiles,1540.0,SP500+NDX,,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
WMT,Walmart Inc.,US,Consumer Staples,Consumer Staples Distribution,1060.0,SP500,DEFENSIVE,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
BRK.B,Berkshire Hathaway Inc.,US,Financials,Financial Services,1050.0,SP500,,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
LLY,Eli Lilly and Company,US,Health Care,Pharmaceuticals,881.0,SP500,,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
JPM,JPMorgan Chase & Co.,US,Financials,Banks,805.0,SP500,,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
MU,Micron Technology Inc.,US,Information Technology,Semiconductors,768.0,SP500+NDX,BIG_TECH_AI_INFRA,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
AMD,Advanced Micro Devices Inc.,US,Information Technology,Semiconductors,686.0,SP500+NDX,BIG_TECH_AI_INFRA,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
XOM,Exxon Mobil Corporation,US,Energy,Oil Gas & Consumable Fuels,665.0,SP500,,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
V,Visa Inc.,US,Financials,Financial Services,626.0,SP500,,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
JNJ,Johnson & Johnson,US,Health Care,Pharmaceuticals,551.0,SP500,DEFENSIVE,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
INTC,Intel Corporation,US,Information Technology,Semiconductors,543.0,SP500+NDX,,Y,HIGH_RISK_REVIEW,HIGH,TURNAROUND_RISK,TURNAROUND_IN_PROGRESS; METADATA_ONLY_AUDIT; turnaround flag prevents core classification,REVIEW_BEFORE_SCORING
ORCL,Oracle Corporation,US,Information Technology,Software,536.0,SP500,BIG_TECH_AI_INFRA,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
COST,Costco Wholesale Corporation,US,Consumer Staples,Consumer Staples Distribution,477.0,SP500+NDX,DEFENSIVE,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
CSCO,Cisco Systems Inc.,US,Information Technology,Communications Equipment,469.0,SP500+NDX,,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
MA,Mastercard Incorporated,US,Financials,Financial Services,446.0,SP500,,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
CAT,Caterpillar Inc.,US,Industrials,Machinery,397.0,SP500,,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
CVX,Chevron Corporation,US,Energy,Oil Gas & Consumable Fuels,387.0,SP500,,N,CORE,LOW,NONE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,KEEP_CORE
