created_at_utc,run_id,alert_version,market,currency,ticker,rank,areas,total_score,score_roe,score_de,score_revenue_growth,score_drawdown,score_volume,score_beta,score_multi_area,return_1y_pct,return_5d_pct,roe,revenue_growth,debt_to_equity,trailing_pe,volume,beta,price_fetched_at,fundamentals_fetched_at,prior_observation_count
2026-05-24T15:09:57.318Z,20260524T150957318Z,v1.1.1,US,USD,NVO,1,C,68.54,15.0,6.4,19.0,11.01,8.89,8.25,0.0,-30.02,0.49,71.4,24.0,72.09,10.55,9886909,0.35,,,0
2026-05-24T15:09:57.318Z,20260524T150957318Z,v1.1.1,US,USD,GRND,2,C,56.18,15.0,0.0,20.0,12.58,0.0,8.6,0.0,-46.04,-3.36,58.93,38.3,47077.0,28.15,821846,0.28,,,0
2026-05-24T23:02:19.519Z,20260524T230219519Z,v1.1.1,US,USD,NVO,1,C,68.54,15.0,6.4,19.0,11.01,8.89,8.25,0.0,-30.02,0.49,71.4,24.0,72.09,10.55,9886909,0.35,,,1
2026-05-24T23:02:19.519Z,20260524T230219519Z,v1.1.1,US,USD,GRND,2,C,56.18,15.0,0.0,20.0,12.58,0.0,8.6,0.0,-46.04,-3.36,58.93,38.3,47077.0,28.15,821846,0.28,,,1
2026-05-25T23:11:21.489Z,20260525T231121489Z,v1.1.1,US,USD,NVO,1,C,68.54,15.0,6.4,19.0,11.01,8.89,8.25,0.0,-30.02,0.49,71.4,24.0,72.09,10.55,9886909,0.35,,,2
2026-05-25T23:11:21.489Z,20260525T231121489Z,v1.1.1,US,USD,GRND,2,C,56.18,15.0,0.0,20.0,12.58,0.0,8.6,0.0,-46.04,-3.36,58.93,38.3,47077.0,28.15,821846,0.28,,,2
2026-05-26T23:15:05.035Z,20260526T231505035Z,v1.1.1,US,USD,NVO,1,C,69.62,15.0,6.4,19.0,12.69,8.29,8.25,0.0,-34.23,-0.2,71.4,24.0,72.09,10.37,9286309,0.35,,,3
2026-05-26T23:15:05.035Z,20260526T231505035Z,v1.1.1,US,USD,FUTU,2,"A,D",62.77,9.04,7.83,20.0,3.45,10.0,7.45,5.0,2.38,-18.22,33.08,53.1,43.35,10.52,17143812,0.51,,,0
2026-05-26T23:15:05.035Z,20260526T231505035Z,v1.1.1,US,USD,GRND,3,C,56.43,15.0,0.0,20.0,12.48,0.35,8.6,0.0,-46.31,-6.5,58.93,38.3,47077.0,27.85,1352260,0.28,,,3
2026-05-27T23:21:46.383Z,20260527T232146383Z,v1.1.1,US,USD,NVO,1,C,70.41,15.0,6.4,19.0,11.77,10.0,8.25,0.0,-31.92,0.61,71.4,24.0,72.09,10.43,11263907.0,0.35,,,4
2026-05-27T23:21:46.383Z,20260527T232146383Z,v1.1.1,US,USD,FUTU,2,"A,D",64.19,9.04,7.83,20.0,4.87,10.0,7.45,5.0,3.97,-11.47,33.08,53.1,43.35,10.76,11177454.0,0.51,,,1
2026-05-27T23:21:46.383Z,20260527T232146383Z,v1.1.1,US,USD,GRND,3,C,55.97,15.0,0.0,20.0,12.34,0.03,8.6,0.0,-46.65,-2.75,58.93,38.3,47077.0,27.67,1029994.0,0.28,,,4
2026-05-28T23:23:02.913Z,20260528T232302913Z,v1.1.1,US,USD,NVO,1,C,70.17,15.0,6.4,19.0,11.52,10.0,8.25,0.0,-31.31,0.98,71.4,24.0,72.09,10.66,14551738,0.35,,,5
2026-05-28T23:23:02.913Z,20260528T232302913Z,v1.1.1,US,USD,FUTU,2,"A,D",61.94,9.04,7.83,20.0,4.03,8.59,7.45,5.0,-0.71,-15.88,33.08,53.1,43.35,10.25,9589487,0.51,,,2
2026-05-28T23:23:02.913Z,20260528T232302913Z,v1.1.1,US,USD,GRND,3,C,56.05,15.0,0.0,20.0,12.04,0.42,8.6,0.0,-47.41,-1.6,58.93,38.3,47077.0,28.04,1415355,0.28,,,5
2026-05-29T23:19:53.397Z,20260529T231953397Z,v1.1.1,US,USD,NVO,1,C,70.85,15.0,6.4,19.0,12.27,9.94,8.25,0.0,-33.17,2.68,71.4,24.0,72.09,10.67,10939324,0.35,,,6
2026-05-29T23:19:53.397Z,20260529T231953397Z,v1.1.1,US,USD,NOW,2,C,56.9,0.54,8.96,17.1,14.4,10.0,5.9,0.0,-38.5,24.76,16.07,22.1,20.73,73.59,67031644,0.82,,,0
2026-05-29T23:19:53.397Z,20260529T231953397Z,v1.1.1,US,USD,GRND,3,C,55.19,15.0,0.0,20.0,11.48,0.11,8.6,0.0,-48.81,-2.57,58.93,38.3,47077.0,27.17,1114081,0.28,,,6
2026-05-30T23:03:49.115Z,20260530T230349115Z,v1.1.1,US,USD,NVO,1,C,70.85,15.0,6.4,19.0,12.27,9.94,8.25,0.0,-33.17,2.68,71.4,24.0,72.09,10.7,10939324,0.35,,,7
2026-05-30T23:03:49.115Z,20260530T230349115Z,v1.1.1,US,USD,NOW,2,C,56.9,0.54,8.96,17.1,14.4,10.0,5.9,0.0,-38.5,24.76,16.07,22.1,20.73,74.03,67031644,0.82,,,1
2026-05-30T23:03:49.115Z,20260530T230349115Z,v1.1.1,US,USD,GRND,3,C,55.19,15.0,0.0,20.0,11.48,0.11,8.6,0.0,-48.81,-2.57,58.93,38.3,47077.0,27.17,1114081,0.28,,,7
2026-05-31T23:05:38.192Z,20260531T230538192Z,v1.1.1,US,USD,NVO,1,C,70.85,15.0,6.4,19.0,12.27,9.94,8.25,0.0,-33.17,2.68,71.4,24.0,72.09,10.7,10939324,0.35,,,8
2026-05-31T23:05:38.192Z,20260531T230538192Z,v1.1.1,US,USD,NOW,2,C,56.9,0.54,8.96,17.1,14.4,10.0,5.9,0.0,-38.5,24.76,16.07,22.1,20.73,74.03,67031644,0.82,,,2
2026-05-31T23:05:38.192Z,20260531T230538192Z,v1.1.1,US,USD,ADBE,3,C,55.81,15.0,7.08,7.0,14.02,9.81,2.9,0.0,-37.55,6.19,58.77,12.0,58.34,15.11,10808921,1.42,,,0
2026-05-31T23:05:38.192Z,20260531T230538192Z,v1.1.1,US,USD,GRND,4,C,55.19,15.0,0.0,20.0,11.48,0.11,8.6,0.0,-48.81,-2.57,58.93,38.3,47077.0,27.17,1114081,0.28,,,8
2026-06-01T23:39:51.098Z,20260601T233951098Z,v1.1.1,US,USD,NVO,1,C,72.27,15.0,6.4,19.0,13.62,10.0,8.25,0.0,-36.56,-1.98,71.4,24.0,72.09,10.35,11716803,0.35,,,9
2026-06-01T23:39:51.098Z,20260601T233951098Z,v1.1.1,US,USD,GRND,2,C,55.02,15.0,0.0,20.0,11.41,0.01,8.6,0.0,-48.97,-2.55,58.93,38.3,47077.0,27.43,1005704,0.28,,,9
